ACRES,POP_2010,POP_2000,Manure_P_kg_ha,P_Ag_Buffered,RNAT45,PDEV,PFOR,PWETL,Ag_P_Runoff,Ag_P_Erosion,Ag_Tile_SSF,PIUCN_IA,PIUCN_IB,Ag_P_balance_kg_ha
18467.36,3568,3430,5.497011065,75.63443288,77.9604263,8,23.4101696,31.3746948,8.772240956,0.13448132,0,0,0,5.49883412
30719.11,4299,3635,43.42501444,70.26715186,62.2333679,8,24.2316399,17.312767,18.29223835,0.25294059,0,0,0,40.25697084
11230.15,6,13,0.119893246,100,99.0946503,1,9.6392221,88.7964859,0.655924078,0.007093415,0,0,0,0.16887946
21409.16,617,579,10.88087272,93.37893402,91.5490646,4,28.5456696,36.9060135,14.10115057,0.227430943,0,0,0,10.94486763
17204.06,1399,1332,9.740323199,90.51614792,88.6440353,5,31.1272163,32.7229195,12.38056407,0.295890296,0,0,0,9.33800495
17225.15,1741,1887,48.6644278,75.63114176,68.7900848,6,20.7930813,19.0502739,30.33929318,0.353949495,0,0,0,45.52087173
11611.43,1040,953,49.31247473,70.49910561,57.4415932,6,15.0687037,22.4606438,24.53099739,0.428942891,0,0,0,46.12192378
16148.02,1834,1476,47.94558273,76.13040146,70.8160629,7,19.0634518,17.4937649,22.98685457,0.27529634,0,0,0,44.85120572
19487.96,2894,2356,42.22683577,78.46707923,74.1611557,7,17.5846691,23.4233418,22.88937826,0.449944095,0,0,0,38.79239105
17058.71,632,637,16.96470466,81.96284661,86.6533432,4,33.370121,31.4846935,9.195298679,0.127351061,0,0,0,15.86981355
15906.06,4217,2274,0.022808301,87.69470405,81.1094131,17,20.9108982,43.2397995,1.501945027,0.041110202,0,0,0,0.067038228
12994.28,17517,9637,0.047142523,92.30182927,65.5945129,45,8.8449364,35.6442146,0.550236051,0.011836219,0,0,0,0.344398898
10143.19,9896,6042,0.191379998,83.54134165,78.969696,37,25.5002651,27.4061451,1.505055665,0.019027822,0,0,0,0.562504668
13400.45,338,337,6.500762678,67.55460079,82.4823532,3,39.250145,16.3139076,11.68762897,0.134233583,0,0,0,9.156856856
20507.09,785,763,35.39162508,81.47749159,82.3456116,4,27.6585789,23.9868069,17.90426282,0.257164861,0,0,0,33.10747241
22021.69,2369,2047,30.29972532,70.34965955,74.9093628,9,29.9354935,21.7404613,19.32094432,0.191724493,0,0,0,28.08897865
24831.61,3630,3130,32.78606252,81.55547628,79.5242691,10,29.3358479,19.2518749,22.754686,0.235852998,0,0,0,30.39390623
23273.62,2443,1489,41.39209541,80.49405795,80.8396378,6,19.0611744,28.6937046,20.72680972,0.319450175,0,0,0,38.3720206
12424.58,583,531,26.93877551,76.3301418,82.9901047,4,29.5553913,23.4377537,9.061228125,0.184113019,0,0,0,25.2001643
22686.04,1365,1361,11.84377915,82.80399848,83.8149414,6,40.6742516,14.4976549,7.839882466,0.090104213,0,0,0,13.18835175
19104.56,3848,3355,38.25981648,67.66704234,70.3751144,10,20.7050304,22.9380188,21.96048587,0.183138315,0,0,0,35.46828088
17845.15,1693,1685,50.38361897,82.40345609,73.3671036,9,17.5715008,19.2799797,24.25640245,0.409125063,0,0,0,46.9639482
21132.37,3785,3804,38.11387451,70.58471933,66.1223221,10,25.8760643,16.2456779,25.98675241,0.355037358,0,0,0,35.41511764
7588.42,374,371,0.763196588,76.88280306,89.2487717,14,36.9323807,33.9898834,2.054385309,0.022853377,0,0,0,2.243189715
18028.35,1845,1583,33.32511222,75.63050102,78.2271423,5,30.29492,19.9479561,25.58225648,0.317373924,0,0,0,31.17433095
23629.86,10593,8757,5.678310401,91.19242757,79.2009888,14,21.0859776,18.8383369,9.002291519,0.328745875,0,0,0,4.953261955
17044.74,865,645,4.160352806,96.92814043,98.0887451,3,32.3109665,46.8173447,4.437097253,0.033953691,0,0,0,3.926374756
13295.32,6320,6056,4.744244953,83.25286819,70.9026108,22,8.5438032,32.803093,14.07144177,0.347428344,0,0,0,4.307079417
14167.09,3032,2427,4.871470513,98.83129123,95.6995544,7,19.8460426,40.7956047,21.28399482,0.255108837,0,0,0,4.873086111
17021.38,1677,1491,42.32055167,79.68225148,73.2560425,6,27.0472965,14.5789824,28.65016511,0.339499189,0,0,0,39.58921054
21879.85,2991,2676,46.61871088,75.65394558,78.1212158,8,19.633997,20.5208721,23.16095142,0.280220076,0,0,0,43.60996933
12659.22,236,229,6.278454998,67.4843344,80.4018478,3,33.9966316,31.2086544,9.615816237,0.1269351,0,0,0,8.750629974
20684.34,1917,1734,28.92747346,77.24066804,73.3236313,6,31.8447952,20.7663326,17.14228764,0.232538415,0,0,0,26.73442095
34474.54,3646,2954,53.19632496,83.09864549,82.9704971,7,13.8377743,22.5870457,26.27158697,0.503250118,0,0,0,49.30003118
13234.2,1147,771,0.112536189,68.72235233,91.162941,8,27.1541672,45.8754501,1.563088418,0.025194383,0,0,0,0.330766708
9267.63,2128,1778,8.545913721,79.13381392,61.6321144,11,17.9847126,21.2778225,11.19049893,0.149528791,0,0,0,8.548747929
21501.46,10574,10276,32.57343815,76.04426534,75.0853271,22,17.1873856,20.8551521,15.72281103,0.281324042,0,0,0,30.47116944
